Date,Close/Last,Volume,Open,High,Low
11/18/2022,$151.29,74829570,$152.305,$152.7,$149.97
11/17/2022,$150.72,80389400,$146.43,$151.48,$146.15
11/16/2022,$148.79,64218270,$149.13,$149.87,$147.29
11/15/2022,$150.04,89868330,$152.215,$153.59,$148.5613
11/14/2022,$148.28,73374110,$148.97,$150.28,$147.43
11/11/2022,$149.7,93979670,$145.82,$150.01,$144.37
11/10/2022,$146.87,118854000,$141.24,$146.87,$139.5
11/09/2022,$134.87,74917790,$138.5,$138.55,$134.5933
11/08/2022,$139.5,89908480,$140.41,$141.43,$137.49
11/07/2022,$138.92,83374630,$137.11,$139.145,$135.671
11/04/2022,$138.38,140814800,$142.09,$142.67,$134.38
11/03/2022,$138.88,97918520,$142.06,$142.8,$138.75
11/02/2022,$145.03,93604620,$148.945,$152.17,$145
11/01/2022,$150.65,80379350,$155.08,$155.45,$149.13
10/31/2022,$153.34,97943170,$153.155,$154.24,$151.92
10/28/2022,$155.74,164762400,$148.2,$157.5,$147.82
10/27/2022,$144.8,109180200,$148.07,$149.046,$144.13
10/26/2022,$149.35,88436170,$150.96,$151.99,$148.04
10/25/2022,$152.34,74732290,$150.09,$152.49,$149.36
10/24/2022,$149.45,75981920,$147.185,$150.23,$146
10/21/2022,$147.27,86548610,$142.87,$147.8479,$142.649
