Date,Close/Last,Volume,Open,High,Low
11/18/2022,$27.6,3087420,$28.16,$28.6999,$26.83
11/17/2022,$27.76,2477693,$26.3,$27.76,$26.15
11/16/2022,$27.14,2452335,$26.62,$27.35,$26.37
11/15/2022,$27.59,5391975,$26.59,$28.24,$26.27
11/14/2022,$26.05,4350537,$26.3,$27.38,$25.61
11/11/2022,$26.1,3986182,$24.78,$26.12,$24.15
11/10/2022,$24.88,6106952,$24.62,$25.6969,$23.91
11/09/2022,$23.11,8464777,$24.55,$24.67,$21.89
11/08/2022,$25.14,4695117,$25.33,$25.85,$24.11
11/07/2022,$25.76,3303627,$26.25,$26.3,$24.8
11/04/2022,$26.51,4137984,$26.6,$27.03,$25.34
11/03/2022,$26.29,3384428,$26,$27.285,$26
11/02/2022,$26.62,4143900,$27.9,$28.75,$26.5
11/01/2022,$28.39,5147499,$29.4,$29.69,$27.62
10/31/2022,$28.31,24027610,$31.22,$34.99,$27.91
10/28/2022,$28.17,8089647,$26.88,$28.79,$26.42
10/27/2022,$25.93,2422933,$25.75,$26.33,$25.2
10/26/2022,$25.42,3866779,$26.37,$27.48,$25.32
10/25/2022,$26.87,7791571,$24.815,$27.79,$24.8
10/24/2022,$24.71,3114308,$25,$25.19,$24.11
10/21/2022,$25.3,3036299,$24.15,$25.33,$24.1
