Date,Close/Last,Volume,Open,High,Low
11/18/2022,$287.98,8400108,$297.33,$298,$287
11/17/2022,$295.28,9838220,$294.72,$299.82,$291
11/16/2022,$306.02,8038556,$309.94,$310.49,$303.61
11/15/2022,$310.2,14626930,$309.2,$312.71,$302.55
11/14/2022,$299.27,17973400,$290,$311,$288.19
11/11/2022,$290.13,9573834,$274.47,$290.66,$271.5577
11/10/2022,$274.97,9667323,$265.99,$275.36,$260.0901
11/09/2022,$254.66,7265994,$259.66,$260.9,$254.2202
11/08/2022,$263.46,7683826,$259.92,$266.08,$256.8801
11/07/2022,$258.6,7927033,$261.06,$261.155,$252.09
11/04/2022,$260.79,11124690,$272.02,$274.97,$255.32
11/03/2022,$269.06,7057350,$271.25,$276.29,$268.8
11/02/2022,$273,10367620,$286.4,$287.33,$272.84
11/01/2022,$286.75,6916424,$296.17,$299.7,$286.42
10/31/2022,$291.88,7505133,$295.13,$297.6199,$289.5
10/28/2022,$295.72,9960547,$297.7,$301.19,$292.2924
10/27/2022,$296.94,14612590,$298.33,$305.21,$294.78
10/26/2022,$298.62,15749250,$290.04,$305.63,$288.04
10/25/2022,$291.02,15100720,$286.95,$297.59,$285.5501
10/24/2022,$282.45,13326420,$290.23,$290.49,$280.36
10/21/2022,$289.57,24889060,$268.95,$290.75,$265.68
