Date,Close/Last,Volume,Open,High,Low
11/18/2022,$66.79,1001174,$66.96,$67.13,$66.49
11/17/2022,$66.59,1239177,$65.38,$66.6,$65.36
11/16/2022,$66.12,1235741,$66.09,$66.2,$65.35
11/15/2022,$66.05,1710834,$66.74,$66.76,$65.425
11/14/2022,$65.99,1941084,$66.51,$66.8842,$65.98
11/11/2022,$66.66,2115264,$67.42,$67.42,$65.96
11/10/2022,$66.97,2274785,$66.45,$67.08,$66.09
11/09/2022,$64.71,1652507,$65.32,$65.73,$64.46
11/08/2022,$65.86,881503,$65.52,$66.295,$65.41
11/07/2022,$65.48,1501445,$65.5,$65.92,$65.24
11/04/2022,$65.26,1567570,$64.66,$65.525,$64.45
11/03/2022,$63.13,963078,$62.64,$63.44,$62.3
11/02/2022,$63.51,1548115,$64.23,$65.03,$63.425
11/01/2022,$64.37,1235182,$64.79,$65.12,$64.01
10/31/2022,$63.99,1332648,$64.13,$64.53,$63.57
10/28/2022,$64.45,1703456,$64.42,$64.545,$63.91
10/27/2022,$64.37,1429772,$64.45,$65.15,$64.12
10/26/2022,$64.23,1637580,$64,$65.01,$63.71
10/25/2022,$64.14,1554827,$63.05,$64.39,$62.73
10/24/2022,$63.09,1716612,$63.23,$63.5,$62.67
10/21/2022,$63.2,1452756,$61.51,$63.38,$61.36
