Date,Close/Last,Volume,Open,High,Low
11/18/2022,$180.19,76048870,$185.05,$185.19,$176.55
11/17/2022,$183.17,64335970,$183.96,$186.16,$180.9
11/16/2022,$186.92,66567600,$191.51,$192.57,$185.66
11/15/2022,$194.42,91293790,$195.88,$200.8237,$192.06
11/14/2022,$190.95,92226650,$192.77,$195.73,$186.34
11/11/2022,$195.97,114403600,$186,$196.52,$182.59
11/10/2022,$190.72,132703000,$189.9,$191,$180.03
11/09/2022,$177.59,127062700,$190.775,$195.89,$177.12
11/08/2022,$191.3,128803400,$194.02,$195.2,$186.75
11/07/2022,$197.08,93916520,$208.65,$208.9,$196.66
11/04/2022,$207.47,98622210,$222.6,$223.8,$203.08
11/03/2022,$215.31,56538850,$211.36,$221.2,$210.14
11/02/2022,$214.98,63070290,$226.04,$227.8699,$214.82
11/01/2022,$227.82,62688820,$234.05,$237.3951,$227.28
10/31/2022,$227.54,61554340,$226.19,$229.85,$221.94
10/28/2022,$228.52,69152390,$225.4,$228.86,$216.35
10/27/2022,$225.09,61638820,$229.77,$233.81,$222.85
10/26/2022,$224.64,85327080,$219.4,$230.6,$218.2
10/25/2022,$222.415,96507870,$210.1,$224.3498,$210
10/24/2022,$211.25,100446800,$205.82,$213.5,$198.5863
10/21/2022,$214.44,75713750,$206.415,$214.66,$203.8
